species,spore_or_zygote_encased_in_sporopollenin,cuticle_pores,stomata,vascular_tissue,true_leaves,wood,flowering_plant
Schmitzia_hiscockiana,0,0,0,0,0,0,0
Nitellopsis_obtusa,1,0,0,0,0,0,0
Haplomitrium_cooperi,1,1,0,0,0,0,0
Blasia_pusilla,1,1,0,0,0,0,0
Porella_cordeana,1,1,0,0,0,0,0
Sphagnum_cuspidata,1,1,1,0,0,0,0
Thuridium_delicatulum,1,1,1,0,0,0,0
Huperzia_lucidula,1,1,1,1,0,0,0
Lycopodium_digitatum,1,1,1,1,0,0,0
Dryopteris_marginalis,1,1,1,1,1,0,0
Dryopteris_intermedia,1,1,1,1,1,0,0
Dennstaedtia_punctilobula,1,1,1,1,1,0,0
Equisetum_arvense,1,1,1,1,1,0,0
Ginkgo_biloba,1,1,1,1,1,1,0
Pinus_strobilus,1,1,1,1,1,1,0
Pinus_rigida,1,1,1,1,1,1,0
Baptisia_australis,1,1,1,1,1,1,1
Solanum_ossicruentum,1,1,1,1,1,1,1
Juglans_nigra,1,1,1,1,1,1,1
Carya_ovata,1,1,1,1,1,1,1
